Medication_Name,Package_Size, Manufacturing_Cost , Max_Retailer_Price , Max_Consumer_Price , Max_Consumer_VAT_Price ,Year
ABBOSYNAGIS 100MG PUL FOR INJ+SOLV,1, $343.97 , $859.93 , $945.93 ," $1,106.74 ",2021
ABBOSYNAGIS 50MG PUL FOR INJ+SOLV,1, $187.33 , $468.33 , $550.29 , $643.84 ,2021
ABELCET 5MG/ML 10 VIAL 20ML (100MG/20ML),10, $457.55 ," $1,143.87 "," $1,258.26 "," $1,472.16 ",2021
ABILIFY  MAINTENA 300 MG VIAL,1, $142.00 , $355.00 , $417.13 , $488.04 ,2021
ABILIFY MAINTENA 400 MG/PREFILLED SYR,1, $115.53 , $288.83 , $339.38 , $397.07 ,2021
ABIRATERONE ACETATE 250MG 120TAB,120," $1,639.41 "," $4,098.51 "," $4,508.37 "," $5,274.79 ",2021
ABITREN 100MG 10 SR TAB,10, $0.89 , $2.22 , $3.05 , $3.57 ,2021
ABITREN 50MG 10SUPP,10, $1.00 , $2.49 , $3.41 , $4.00 ,2021
ABITREN INJ 75MG/3CC,5, $1.00 , $2.50 , $3.43 , $4.01 ,2021
ABRAXANE 5MG/ML VIAL 100MG/20ML,1, $127.94 , $319.85 , $375.83 , $439.72 ,2021
ABSTRAL 100MCG 30TAB SUBLINGUAL,30, $92.79 , $231.97 , $272.57 , $318.90 ,2021
ABSTRAL 200MCG 30TAB SUBLINGUAL,30, $94.54 , $236.34 , $277.70 , $324.91 ,2021
ABSTRAL 400MCG 30TAB SUBLINGUAL,30, $92.33 , $230.83 , $271.22 , $317.33 ,2021
ABSTRAL 600MCG 30TAB SUBLINGUAL,30, $93.92 , $234.80 , $275.89 , $322.80 ,2021
ABSTRAL 800MCG 30 TAB SUBLINGUAL,30, $91.77 , $229.42 , $269.57 , $315.39 ,2021
ACCOFIL 300 MCG/0.5 ML,1, $14.87 , $37.17 , $46.47 , $54.37 ,2021
ACCOFIL 480 MCG/0.5 ML 1PFS,1, $22.41 , $56.02 , $70.03 , $81.93 ,2021
ACERIL 12.5MG 90TAB,90, $1.37 , $3.42 , $4.68 , $5.47 ,2021
ACERIL 25MG 90TAB,90, $2.91 , $7.28 , $9.97 , $11.67 ,2021
ACERIL 50MG 90TAB,90, $3.84 , $9.59 , $13.14 , $15.37 ,2021
ACLASTA 5MG/100ML 1BOTTLE,1, $101.00 , $252.51 , $296.70 , $347.13 ,2021
ACNETRIM SOL 25ML,25, $1.41 , $3.54 , $4.84 , $5.67 ,2021
ACROSE 100MG 30TAB,30, $2.20 , $5.50 , $7.53 , $8.81 ,2021
ACROSE 50MG 30TAB,30, $1.53 , $3.82 , $5.23 , $6.12 ,2021
ACTEMRA 162 MG S.C. 4 SYRINGE PREFILLED,4, $410.30 ," $1,025.74 "," $1,128.32 "," $1,320.13 ",2021
ACTEMRA 20MG/ML 1X10ML(200MG) CONC. FOR SOLUTION FOR INF.,1, $149.45 , $373.62 , $439.00 , $513.63 ,2021
ACTEMRA 20MG/ML 1X4ML(80MG) CONC. FOR SOLUTION FOR INF.,1, $59.77 , $149.43 , $175.58 , $205.42 ,2021
ACTILYSE 20 MG 1VIAL/20ML,1, $80.98 , $202.45 , $237.87 , $278.31 ,2021
ACTILYSE 50 MG 1VIAL/50ML,1, $234.41 , $586.02 , $644.63 , $754.21 ,2021
ACTIQ 1200MCG 30 COMPRESSED TAB,30, $101.37 , $253.42 , $297.77 , $348.39 ,2021
ACTIQ 1600MCG 30 COMPRESSED TAB,30, $97.49 , $243.72 , $286.37 , $335.05 ,2021
ACTIQ 200MCG 30 COMPRESSED TAB,30, $77.77 , $194.42 , $228.45 , $267.28 ,2021
ACTIQ 400MCG 30 COMPRESSED TAB,30, $93.67 , $234.18 , $275.16 , $321.93 ,2021
ACTIQ 600MCG 30 COMPRESSED TAB,30, $86.50 , $216.24 , $254.09 , $297.28 ,2021
ACTIQ 800MCG 30 COMPRESSED TAB,30, $108.65 , $271.62 , $319.16 , $373.41 ,2021
ACTIVELLE 28TAB,28, $2.89 , $7.23 , $9.90 , $11.59 ,2021
ACTOS 15MG 28TAB,28, $7.10 , $17.75 , $23.87 , $27.93 ,2021
ACTOS 30MG 28TAB,28, $10.06 , $25.16 , $33.84 , $39.59 ,2021
ACTOS 45MG 28TAB,28, $11.14 , $27.85 , $37.46 , $43.83 ,2021
ACYCLO-V 200MG 30TAB,30, $3.45 , $8.64 , $11.83 , $13.84 ,2021
ACYCLO-V 400MG 30TAB,30, $2.94 , $7.36 , $10.09 , $11.80 ,2021
ACYCLOVENIR 250MG 5VIAL/10ML,5, $17.64 , $44.10 , $55.13 , $64.50 ,2021
ADAFERIN CREAM 0.1% 30GR,30, $3.09 , $7.74 , $10.60 , $12.40 ,2021
ADAFERINE GEL 30GR,30, $3.08 , $7.70 , $10.55 , $12.35 ,2021
ADCETRIS 50MG/VIAL,1," $1,368.31 "," $3,420.78 "," $3,762.86 "," $4,402.54 ",2021
ADEMPAS 1.5MG 42TAB,42, $519.60 ," $1,299.00 "," $1,428.90 "," $1,671.81 ",2021
ADEMPAS 1MG 42TAB,42, $519.60 ," $1,299.00 "," $1,428.90 "," $1,671.81 ",2021
ADEMPAS 2.5MG 84TAB,84," $1,039.20 "," $2,597.99 "," $2,857.79 "," $3,343.61 ",2021
ADEMPAS 2MG 42TAB,42, $519.60 ," $1,299.00 "," $1,428.90 "," $1,671.81 ",2021
ADENO AVENIR  3MG/ML  VIAL 2ML,6, $8.48 , $21.21 , $28.52 , $33.37 ,2021
"ADENOCOR 3 MG/ML 6 VIALS 2ML
 VIAL 2 ML",6, $8.48 , $21.21 , $28.52 , $33.37 ,2021
ADENOHARDT 3MG/ML 6 VIAL 2ML,6, $8.48 , $21.21 , $28.52 , $33.37 ,2021
ADIZEM CD 120MG 30CAP,30, $1.51 , $3.78 , $5.18 , $6.07 ,2021
ADIZEM CD 180MG 30CAP,30, $2.55 , $6.37 , $8.72 , $10.21 ,2021
ADIZEM CD 240MG 30CAP,30, $4.01 , $10.03 , $13.73 , $16.07 ,2021
ADRENALINE S.A.L.F 1 MG/ML 5 AMP,5, $2.10 , $5.24 , $7.18 , $8.40 ,2021
ADVAGRAF 0.5MG 50  P.R. CAPS,50, $13.71 , $34.28 , $42.85 , $50.13 ,2021
ADVAGRAF 1MG 50  P.R. CAPS,50, $25.95 , $64.87 , $76.22 , $89.18 ,2021
ADVAGRAF 3MG 50  P.R. CAPS,50, $76.98 , $192.46 , $226.14 , $264.59 ,2021
ADVAGRAF 5MG 50  P.R. CAPS,50, $115.36 , $288.41 , $338.88 , $396.49 ,2021
ADVATE 1000 IU VIAL,1, $253.55 , $633.87 , $697.26 , $815.80 ,2021
ADVATE 250 IU VIAL,1, $64.64 , $161.59 , $189.87 , $222.15 ,2021
ADVATE 500 IU VIAL,1, $122.81 , $307.02 , $360.75 , $422.08 ,2021
AERIUS 5MG 30TAB,30, $2.30 , $5.74 , $7.87 , $9.21 ,2021
AERIUS SYRUP 0.5MG/ML 120ML,120, $1.18 , $2.95 , $4.04 , $4.73 ,2021
AEROVENT SOL 20ML,20, $2.20 , $5.50 , $7.54 , $8.82 ,2021
AFINITOR 10MG 30TABLETS,30, $814.58 ," $2,036.45 "," $2,240.10 "," $2,620.91 ",2021
AFINITOR 2.5MG 30TABLETS,30, $338.79 , $846.97 , $931.67 ," $1,090.06 ",2021
AFINITOR 5MG 30TABLETS,30, $571.66 ," $1,429.15 "," $1,572.06 "," $1,839.31 ",2021
AGGRASTAT 0.05MG/ML BAG 250ML,250, $71.86 , $179.64 , $211.08 , $246.96 ,2021
AGIOLAX GRANULES 200GR,200, $4.26 , $10.64 , $14.58 , $17.06 ,2021
AGISERC 16MG 30TAB,30, $1.21 , $3.02 , $4.13 , $4.84 ,2021
AGISPOR ONYCHOSET OINT 10GR (WITH WATER PROOF PLASTERS),10, $9.29 , $23.23 , $31.25 , $36.56 ,2021
AGISTEN 3 VCR 20GR 2%,20, $1.82 , $4.56 , $6.25 , $7.31 ,2021
AIMOVIG  70MG  PREFILLED PEN,1, $210.50 , $526.25 , $618.34 , $723.46 ,2021
